position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
246,245,Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,1500,59,amusement parks,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589cffdb4bbe6f0e55866afb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866
247,245,Li Yihai,Li,li-yihai,no-pic,1500,55,pharmaceuticals,Healthcare,M,
248,245,Shuai Fangwen,Shuai,shuai-fangwen,no-pic,1500,51,pharmaceuticals,Healthcare,M,
249,245,Xu Qiming,Xu,xu-qiming,xu-qiming,1500,54,"food, art",Diversified,M,
250,245,Zhang Tao,Zhang,zhang-tao,no-pic,1500,,,Fashion & Retail,M,
251,251,Ruan Shuilong,Ruan,ruan-shuilong,no-pic,1490,82,chemicals,Manufacturing,M,
252,251,Wang Jinshu,Wang,wang-jinshu,no-pic,1490,61,chemicals,Manufacturing,M,
253,251,Wu Yiling,Wu,wu-yiling,wu-yiling,1490,68,pharmaceuticals,Healthcare,M,
254,251,Zhou Hongyi,Zhou,zhou-hongyi,zhou-hongyi,1490,47,security software,Technology,M,//specials-images.forbesimg.com/imageserve/589f2f00a7ea431f321947dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=306&cropY2=1050
255,255,Min Luo,Luo,min-luo,no-pic,1480,35,Online finance,Finance and Investments,,
256,255,Wang Jiufang,Wang,wang-jiufang,no-pic,1480,54,real estate,Real Estate,M,
257,255,Wu Xu,Wu,wu-xu,no-pic,1480,54,real estate,Real Estate,M,
258,258,Miao Hangen,Miao,miao-hangen,miao-hangen,1470,53,"textiles, petrochemicals",Diversified,M,
259,258,Wang Qicheng,Wang,wang-qicheng,no-pic,1470,38,entertainment,Technology,M,//specials-images.forbesimg.com/imageserve/589de3ca4bbe6f0e5586748c/416x416.jpg?background=000000&cropX1=52&cropX2=661&cropY1=52&cropY2=661
260,260,Li Zongsong,Li,li-zongsong,no-pic,1460,50,pharmaceuticals,Healthcare,M,
261,260,Nan Cunhui,Nan,nan-cunhui,nan-cunhui,1460,54,power equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d2f2931358e1a35ab0be2/416x416.jpg?background=000000&cropX1=52&cropX2=649&cropY1=214&cropY2=812
262,260,Zhou Liangzhang,Zhou,zhou-liangzhang,no-pic,1460,55,equipment,Manufacturing,M,
263,263,Jiang Zhaobai,Jiang,jiang-zhaobai,jiang-zhaobai,1440,54,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c3311e31358e1a35accc87/416x416.jpg?background=000000&cropX1=21&cropX2=744&cropY1=87&cropY2=811
264,263,Wang Jianyi,Wang,wang-jianyi,wang-jianyi,1440,55,fiber optic cables,Technology,M,
265,263,Zhang Jingzhang,Zhang,zhang-jingzhang,no-pic,1440,82,precision machinery,Manufacturing,M,
266,266,Lou Zhongfu,Lou,lou-zhongfu,lou-zhongfu,1430,64,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2b514bbe6f0e55866c91/416x416.jpg?background=000000&cropX1=274&cropX2=532&cropY1=359&cropY2=617
267,266,Tang Yan,Tang,tang-yan,no-pic,1430,39,social media,Technology,M,
268,266,Yu Rong,Yu,yu-rong,no-pic,1430,46,health clinics,Healthcare,M,
269,269,Cai Dongqing,Cai,cai-dongqing-2,cai-dongqing-2,1420,48,animation,Media & Entertainment,M,
270,269,Lin Dingqiang,Lin,lin-dingqiang,no-pic,1420,51,real estate,Real Estate,M,
271,269,Xiao Chunhong,Xiao,xiao-chunhong,no-pic,1420,50,real estate,Real Estate,M,
272,272,Chen Ningning,Chen,chen-ningning,chen-ningning,1410,47,minerals,Metals & Mining,F,
273,272,Jiang Xuefei,Jiang,jiang-xuefei,no-pic,1410,48,printed circuit boards,Technology,M,
274,272,Zheng Jianjiang,Zheng,zheng-jianjiang,zheng-jianjiang,1410,57,electrical equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2de84bbe6f0e5586894c/416x416.jpg?background=000000&cropX1=206&cropX2=557&cropY1=203&cropY2=554
275,275,Ou Zongrong,Ou,ou-zongrong,ou-zongrong,1400,54,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d304da7ea431f32192a6a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=235&cropY2=979
276,275,Wang Linpeng,Wang,wang-linpeng,no-pic,1400,49,furniture retailing,Construction & Engineering,M,
277,275,Zhou Yifeng,Zhou,zhou-yifeng-1,no-pic,1400,49,chemicals,Manufacturing,M,
278,275,Zhou Zongwen,Zhou,zhou-zongwen,no-pic,1400,60,jewelry,Fashion & Retail,M,
279,279,Fu Mingkang,Fu,fu-mingkang,no-pic,1390,54,manufacturing,Manufacturing,M,
280,280,Que Wenbin,Que,que-wenbin,no-pic,1380,54,pharmaceuticals,Healthcare,M,
281,280,Wen Jianping,Wen,wen-jianping,wen-jianping,1380,55,sewage treatment,Service,M,
282,282,Bu Yang,Bu,bu-yang,no-pic-female,1370,,retail,Fashion & Retail,F,
283,283,Wang Liping,Wang,wang-liping,no-pic,1360,51,hydraulic machinery,Manufacturing,M,
284,284,Bo Shijiu,Bo,bo-shijiu,no-pic,1350,53,logsitics,Logistics,M,
285,284,Zhao Weiguo,Zhao,zhao-weiguo,no-pic,1350,51,technology,Technology,M,//specials-images.forbesimg.com/imageserve/589f2d6e31358e1a35ab274c/416x416.jpg?background=000000&cropX1=119&cropX2=560&cropY1=259&cropY2=701
286,286,Fu Guangming,Fu,fu-guangming,fu-guangming,1340,64,poultry,Food and Beverage,M,
287,286,Huang Zhuangmian,Huang,huang-zhuangmian,no-pic,1340,47,logistics,Logistics,M,
288,286,Li Jiaquan,Li,li-jiaquan,no-pic,1340,54,chemicals,Manufacturing,M,
289,286,Liu Shaobo,Liu,liu-shaobo,no-pic,1340,56,printed circuit boards,Technology,M,
290,286,Shum Chiu Hung,Shum,shum-chiu-hung,no-pic,1340,48,Real Estate,Real Estate,M,
291,291,Gao Yunfeng,Gao,gao-yunfeng-1,no-pic,1330,50,manufacturing,Manufacturing,M,
292,291,Liu Zhenguo,Liu,liu-zhenguo,no-pic,1330,52,sewage treatment,Service,M,
293,291,Su Rubo,Su,su-rubo,no-pic,1330,63,Country Garden,Real Estate,M,
294,294,Jiang Ganjun,Jiang,jiang-ganjun,no-pic,1320,54,home & office products,Manufacturing,M,
295,294,Wen Yibo,Wen,wen-yibo,wen-yibo,1320,52,wastewater treatment,Service,M,
296,294,Yu Peidi,Yu,yu-peidi,yu-peidi,1320,58,real estate,Real Estate,M,
297,294,Zhou Yongli,Zhou,zhou-yongli,no-pic,1320,63,conglomerate,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2ffda7ea431f321947f2/416x416.jpg?background=000000&cropX1=77&cropX2=568&cropY1=23&cropY2=514
298,298,Gu Wei,Gu,gu-wei,no-pic,1310,52,consumer electronics,Manufacturing,M,
299,298,Shao Qinxiang,Shao,shao-qinxiang,no-pic,1310,63,diversified,Manufacturing,M,
300,298,Sit Kwong Lam,Sit,sit-kwong-lam,sit-kwong-lam,1310,49,"oil, transportation",Energy,M,//specials-images.forbesimg.com/imageserve/589f6df331358e1a35ab2b27/416x416.jpg?background=000000&cropX1=187&cropX2=553&cropY1=208&cropY2=574
301,298,Xu Ziquan,Xu,xu-ziquan,no-pic,1310,59,software,Technology,M,
302,298,Yan Yude,Yan,yan-yude,no-pic,1310,57,customer services,Service,M,
303,303,Liang Guangwei,Liang,liang-guangwei,no-pic,1300,54,conglomerate,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d1031a7ea431f3219298f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=201&cropY2=945
304,303,Ou Xueming,Ou,ou-xueming,no-pic,1300,69,real estate,Real Estate,M,
305,303,Tang Jianfang,Tang,tang-jianfang,no-pic-female,1300,,packaged foods,Food and Beverage,F,
306,303,Wang Yong,Wang,wang-yong,wang-yong,1300,67,food sweeteners,Food and Beverage,M,
307,307,Gao Don,Gao,gao-don,no-pic,1290,52,power tools,Manufacturing,M,
308,307,Liu Jincheng,Liu,liu-jincheng,no-pic,1290,53,lithium batteries,Technology,M,//specials-images.forbesimg.com/imageserve/589d248ba7ea431f321929e0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854
309,307,Zan Shengda,Zan,zan-shengda,zan-shengda,1290,54,diversified,Diversified,M,//specials-images.forbesimg.com/imageserve/589e1a4ba7ea431f321938ca/416x416.jpg?background=000000&cropX1=48&cropX2=731&cropY1=58&cropY2=741
310,307,Zhou Bajin,Zhou,zhou-bajin,no-pic,1290,82,auto parts,Manufacturing,M,
311,311,Li Jun,Li,li-jun,no-pic,1280,53,electronics,Manufacturing,M,
